Time,RSSI,RelativeLatitude,RelativeLongitude,Height
2021-06-25 14:39:40.210172,-60,6.49999999993156e-05,0.0004040000000031796,2.6248393498001406
2021-06-25 14:39:40.761471,-58,6.49999999993156e-05,0.00039999999999906777,2.9529233498001304
2021-06-25 14:39:41.308372,-55,6.49999999993156e-05,0.0003909999999933689,3.28100734980012
2021-06-25 14:39:41.856308,-52,6.400000000184036e-05,0.0003700000000037562,3.60909134980011
2021-06-25 14:39:42.413800,-49,6.299999999725969e-05,0.0003580000000056316,3.9371753498001
2021-06-25 14:39:42.964845,-46,6.299999999725969e-05,0.0003459999999932961,4.26525934980009
2021-06-25 14:39:43.518304,-44,6.400000000184036e-05,0.000332000000000221,4.921427349800069
2021-06-25 14:39:44.070743,-42,6.400000000184036e-05,0.00032199999999704687,5.249511349800059
2021-06-25 14:39:44.613701,-42,6.49999999993156e-05,0.0003059999999948104,5.249511349800059
2021-06-25 14:39:45.154968,-40,6.49999999993156e-05,0.0002910000000042601,5.577595349800049
2021-06-25 14:39:45.706161,-44,6.49999999993156e-05,0.0002829999999960364,5.905679349800039
2021-06-25 14:39:46.258000,-45,6.599999999679085e-05,0.0002740000000045484,6.233763349800029
2021-06-25 14:39:46.805570,-44,6.599999999679085e-05,0.0002669999999938,6.5618473498000185
2021-06-25 14:39:47.349654,-43,6.700000000137152e-05,0.00026200000000642376,6.5618473498000185
2021-06-25 14:39:47.900951,-43,6.700000000137152e-05,0.00024899999999661304,6.889931349800008
2021-06-25 14:39:48.453947,-44,6.700000000137152e-05,0.00023699999999848842,7.218015349799998
2021-06-25 14:39:49.012851,-44,6.700000000137152e-05,0.00023500000000353793,7.218015349799998
2021-06-25 14:39:49.581771,-45,6.599999999679085e-05,0.00022099999999625197,7.218015349799998
2021-06-25 14:39:50.117930,-45,6.599999999679085e-05,0.00021399999999971442,7.546099349799988
2021-06-25 14:39:50.648799,-45,6.49999999993156e-05,0.0002080000000006521,7.546099349799988
2021-06-25 14:39:51.197975,-44,6.49999999993156e-05,0.00020600000000570162,7.546099349799988
2021-06-25 14:39:51.750367,-44,6.49999999993156e-05,0.00020600000000570162,7.546099349799988
2021-06-25 14:39:52.309582,-43,6.49999999993156e-05,0.00020700000000317686,7.546099349799988
2021-06-25 14:39:52.839411,-44,6.49999999993156e-05,0.00020700000000317686,7.546099349799988
2021-06-25 14:39:53.432751,-48,6.49999999993156e-05,0.0002080000000006521,7.546099349799988
2021-06-25 14:39:54.000421,-52,6.49999999993156e-05,0.0002080000000006521,7.546099349799988
2021-06-25 14:39:54.539113,-54,6.599999999679085e-05,0.00020700000000317686,7.546099349799988
2021-06-25 14:39:55.088720,-57,6.599999999679085e-05,0.00020700000000317686,7.546099349799988
2021-06-25 14:39:55.640610,-59,6.199999999978445e-05,0.00020700000000317686,7.546099349799988
2021-06-25 14:39:56.196491,-60,-3.0999999999892225e-05,0.00021300000000223918,7.874183349800205
2021-06-25 14:39:56.749366,-63,-4.2000000000541604e-05,0.00021200000000476393,7.874183349800205
2021-06-25 14:39:57.299322,-64,-5.600000000072214e-05,0.00021200000000476393,7.874183349800205
2021-06-25 14:39:57.852366,-64,-6.400000000184036e-05,0.00021200000000476393,7.874183349800205
2021-06-25 14:39:58.406930,-65,-7.300000000043383e-05,0.00021099999999307784,7.874183349800205
2021-06-25 14:39:58.958011,-66,-7.80000000020209e-05,0.00021099999999307784,7.874183349800205
2021-06-25 14:39:59.517325,-67,-8.700000000061436e-05,0.0002099999999956026,7.546099349799988
2021-06-25 14:40:00.068455,-67,-9.200000000220143e-05,0.00020899999999812735,7.546099349799988
2021-06-25 14:40:00.619981,-67,-9.899999999873899e-05,0.00020899999999812735,7.874183349800205
2021-06-25 14:40:01.186327,-71,-0.00010400000000032605,0.00020899999999812735,7.874183349800205
2021-06-25 14:40:01.740426,-73,-0.00011099999999686361,0.00020899999999812735,7.874183349800205
2021-06-25 14:40:02.258456,-72,-0.00011800000000050659,0.00020899999999812735,7.874183349800205
2021-06-25 14:40:02.811162,-71,-0.00012499999999704414,0.00020899999999812735,7.546099349799988
2021-06-25 14:40:03.359396,-70,-0.00013200000000068712,0.00020899999999812735,7.546099349799988
2021-06-25 14:40:03.911835,-70,-0.00013400000000274304,0.0002080000000006521,7.546099349799988
2021-06-25 14:40:04.455923,-70,-0.00013500000000021828,0.0002080000000006521,7.546099349799988
2021-06-25 14:40:05.035272,-70,-0.00013500000000021828,0.00020700000000317686,7.546099349799988
2021-06-25 14:40:05.571432,-70,-0.00013400000000274304,0.00020700000000317686,7.546099349799988
2021-06-25 14:40:06.139391,-72,-0.00013400000000274304,0.00020700000000317686,7.546099349799988
2021-06-25 14:40:06.691782,-75,-0.00013400000000274304,0.00020700000000317686,7.218015349799998
2021-06-25 14:40:07.235040,-70,-0.00013400000000274304,0.0002080000000006521,7.218015349799998
2021-06-25 14:40:07.781753,-68,-0.00013400000000274304,0.0002080000000006521,7.546099349799988
2021-06-25 14:40:08.337762,-66,-0.00013400000000274304,0.00020700000000317686,7.218015349799998
2021-06-25 14:40:08.890091,-64,-0.00013299999999816237,0.00020700000000317686,7.218015349799998
2021-06-25 14:40:09.439676,-63,-0.0001299999999986312,0.00020700000000317686,7.218015349799998
2021-06-25 14:40:10.000322,-62,-0.0001239999999995689,0.00020700000000317686,7.218015349799998
2021-06-25 14:40:10.546226,-61,-0.00011299999999891952,0.00020600000000570162,7.218015349799998
2021-06-25 14:40:11.098819,-60,-0.00010199999999827014,0.00020499999999401552,7.546099349799988
2021-06-25 14:40:11.652061,-59,-8.499999999855845e-05,0.00020399999999654028,7.546099349799988
2021-06-25 14:40:12.202645,-56,-7.80000000020209e-05,0.00020299999999906504,7.546099349799988
2021-06-25 14:40:12.754302,-54,-6.700000000137152e-05,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:13.306345,-52,-6.100000000230921e-05,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:13.858969,-49,-4.7999999999603915e-05,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:14.414530,-45,-3.799999999642978e-05,0.00020299999999906504,7.546099349799988
2021-06-25 14:40:14.966811,-42,-3.399999999942338e-05,0.00020299999999906504,7.546099349799988
2021-06-25 14:40:15.518454,-41,-2.3999999996249244e-05,0.00020299999999906504,7.546099349799988
2021-06-25 14:40:16.065808,-43,-1.4000000000180535e-05,0.00020299999999906504,7.546099349799988
2021-06-25 14:40:16.618366,-48,-3.999999997006398e-06,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:17.172892,-50,2.0000000020559128e-06,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:17.724682,-49,1.100000000064938e-05,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:18.276343,-48,2.099999999671809e-05,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:18.829206,-50,2.800000000036107e-05,0.0002020000000015898,7.546099349799988
2021-06-25 14:40:19.368899,-52,3.900000000101045e-05,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:19.922330,-53,4.500000000007276e-05,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:20.479465,-54,5.5000000003246896e-05,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:21.037295,-55,6.49999999993156e-05,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:21.583358,-57,7.699999999744023e-05,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:22.137527,-58,8.900000000267028e-05,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:22.690252,-59,9.70000000037885e-05,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:23.234494,-60,0.00010799999999733245,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:23.786996,-61,0.00011599999999845068,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:24.347493,-61,0.00012499999999704414,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:24.900176,-62,0.0001370000000022742,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:25.446651,-62,0.0001469999999983429,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:26.005366,-64,0.0001490000000003988,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:26.552464,-65,0.0001660000000001105,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:27.098387,-65,0.0001699999999971169,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:27.645116,-65,0.00017600000000328464,0.0002020000000015898,7.218015349799998
2021-06-25 14:40:28.201363,-64,0.00019400000000047157,0.00020299999999906504,7.218015349799998
2021-06-25 14:40:28.754127,-64,0.00021000000000270802,0.00020399999999654028,7.546099349799988
2021-06-25 14:40:29.304799,-65,0.00021499999999718966,0.00020399999999654028,7.546099349799988
2021-06-25 14:40:29.880817,-65,0.0002190000000013015,0.00020399999999654028,7.546099349799988
2021-06-25 14:40:30.405393,-65,0.00022799999999989495,0.00020399999999654028,7.218015349799998
2021-06-25 14:40:30.959879,-65,0.0002440000000021314,0.00020499999999401552,7.218015349799998
2021-06-25 14:40:31.495033,-67,0.0002649999999988495,0.00020600000000570162,7.218015349799998
2021-06-25 14:40:32.084174,-67,0.0002629999999967936,0.00020700000000317686,7.218015349799998
2021-06-25 14:40:32.578049,-64,0.00026199999999931833,0.0002080000000006521,7.218015349799998
2021-06-25 14:40:33.162631,-63,0.0002599999999972624,0.0002080000000006521,7.218015349799998
2021-06-25 14:40:33.712981,-61,0.0002539999999982001,0.0002080000000006521,7.218015349799998
2021-06-25 14:40:34.273121,-60,0.0002440000000021314,0.00020899999999812735,7.546099349799988
2021-06-25 14:40:34.820207,-58,0.00023399999999895726,0.00020899999999812735,7.546099349799988
2021-06-25 14:40:35.367673,-58,0.0002250000000003638,0.0002099999999956026,7.546099349799988
